"Publication Year","Author","Title","Subgenre","Page Count",,"Total Authors:",300
2021,"Kali Wallace","Dead Space","Forensic Engineering / Materials Science",320,,,
2021,"Ken Lozito","First Colony","Planetary Science / Engineering",360,,,
2021,"Lina Rather","Sisters of the Forsaken Stars","Astrobiology / Genetics",192,,,
2021,"Miles Cameron","Artifact Space","Space Industry / Materials Science",600,,,
2021,"Neal Asher","The Human","Robotic/AI Hard SF",512,,,
2021,"Neal Stephenson","Termination Shock","Climate Fiction (Cli-Fi) / Geoengineering",720,,,
2021,"Peter Cawdron","Dispatches from the War","First Contact / Near-Future",312,,,
2021,"Peter Cawdron","Jury Duty","First Contact / Sociology",330,,,
2021,"Peter Cawdron","Cold Eyes","Astrobiology / Xenobiology",374,,,
2021,"Peter Cawdron","Déjà Vu","Quantum SF / Time Travel",390,,,
2021,"Peter Cawdron","Wherever Seeds May Fall","Astrobiology / First Contact",410,,,
2021,"Peter F. Hamilton","Saints of Salvation","Hard Space Opera / Singularity",528,,,
2021,"Roseanne A. Brown","A Psalm of Storms and Silence","Sociobiology / Ecology",448,,,
2021,"Ryka Aoki","Light from Uncommon Stars","Cybernetics / Information Theory",384,,,
2021,"Stephen Baxter","Galaxias","Astrophysics / Solar Science",500,,,
2021,"Sylvain Neuvel","A History of What Comes Next","Space Industry / Alternate History",304,,,
2021,"T.S. Falk","The Ancient Code","Archaeological Physics / Information Theory",330,,,
2021,"Tade Thompson","Far from the Light of Heaven","Generation Ships / Robotic Hard SF",384,,,
2021,"Wil McCarthy","Rich Man's Sky","Space Industry / Asteroid Mining",320,,,
2022,"Adam Roberts","The This","Information Theory / Physics",352,,,
2022,"Adrian Tchaikovsky","Ogres","Genetic Engineering / Sociology",160,,,
2022,"Adrian Tchaikovsky","Children of Memory","Biological Hard SF / Evolution",496,,,
2022,"Adrian Tchaikovsky","Eyes of the Void","Hard Space Opera / Xenobiology",608,,,
2022,"Alastair Reynolds","Eversion","Quantum Physics / Relativistic SF",320,,,
2022,"Becky Chambers","A Prayer for the Crown-Shy","Robotic/AI Hard SF / Ecology",160,,,
2022,"Blake Crouch","Upgrade","Genetic Engineering / Uplift",352,,,
2022,"Brandon Q. Morris","Lost Moon: Lunar Eclipse","Orbital Mechanics / Moon Science",340,,,
2022,"Brandon Q. Morris","The Proxima Logfiles","Interstellar Travel / Relativistic SF",348,,,
2022,"Brandon Q. Morris","The Answer","Physics SF / Quantum Theory",350,,,
2022,"Brandon Q. Morris","The Disturbance","Physics SF / Quantum Theory",350,,,
2022,"Brandon Q. Morris","The Arrival","Relativistic SF / First Contact",360,,,
2022,"Brandon Q. Morris","The Encounter","Relativistic SF / First Contact",360,,,
2022,"Brandon Q. Morris","The Sojourn","Relativistic SF / First Contact",360,,,
2022,"Brandon Q. Morris","The Factory of God","Megastructures / Engineering",370,,,
2022,"Brandon Q. Morris","Earthbound","Exobiology / Evolution",380,,,
2022,"Brandon Q. Morris","Olom","Exobiology / Evolution",380,,,
2022,"Christopher Ruocchio","Kingdoms of Death","Astrophysics / Orbital Mechanics",500,,,
2022,"Claire North","Notes from the Burning Age","Ecology / Information Theory",400,,,
2022,"David Walton","Living Memory","Neurobiology / Paleontology",350,,,
2022,"Dennis E. Taylor","The Search for Earth","Space Colonization / Interstellar",438,,,
2022,"Dominik A. Meier","The Archon Project","Aerospace Engineering / Robotics",320,,,
2022,"Gareth L. Powell","Stars and Bones","Generation Ships / Interstellar",368,,,
2022,"Gautam Bhatia","The Horizon","Megastructures / Social Science Hard SF",400,,,
2022,"Hiron Ennes","Leech","Neurobiology / Parasitology (Hard)",352,,,
2022,"J.C.M. Berne","Wistful Ascending","Astrophysics / Social Hard SF",350,,,
2022,"John Scalzi","The Kaiju Preservation Society","Biological Hard SF",272,,,
2022,"Kelly Weinersmith","A City on Mars","Planetary Science / Space Law (Hard Extrapolation)",448,,,
2022,"Kim Stanley Robinson","The High Sierra","Near-Future Extrapolation",560,,,
2022,"Linda Nagata","Needle","Megastructures / Robotic Hard SF",356,,,
2022,"Marko Kloos","Centers of Gravity","Astrophysics / Orbital Mechanics",320,,,
2022,"Mur Lafferty","Station Eternity","First Contact / Near-Future",464,,,
2022,"Ned Beauman","Venomous Lumpsucker","Conservation Biology / Economics (Hard)",336,,,
2022,"Paul McAuley","Beyond the Burn","First Contact / Xenobiology",464,,,
2022,"Peter Cawdron","Clowns","First Contact / Near-Future",342,,,
2022,"Peter Cawdron","The Tempest","Planetary Science / Meteorology (Hard)",368,,,
2022,"Peter Cawdron","Generation of Vipers","First Contact / Xenobiology",380,,,
2022,"Ray Nayler","The Mountain in the Sea","Xenobiology / Neural Architecture",464,,,
2022,"S.B. Divya","Meru","Interstellar Travel / Post-Human",448,,,
2022,"S.E. Robertson","The Healers' Road","Biological Hard SF / Pharmacology",400,,,
2022,"Stephen Baxter","The Thousand Earths","Relativistic SF / Deep Time",500,,,
2022,"T.R. Napper","36 Streets","Cybernetics / AI / Sociology",350,,,
2022,"Vandana Singh","Utopias of the Third Kind","Climate Fiction / Ecology (Hard)",200,,,
2022,"Vandana Singh","Utopias of the Third Kind","Climate Science/Sociopolitical Theory",128,,,
2022,"Wil McCarthy","Poor Man's Sky","Space Industry / Solar System",352,,,
2023,"Adrian Tchaikovsky","Lords of Uncreation","Hard Space Opera / Relativistic SF",608,,,
2023,"Al Hess","World Running Down","Cybernetics / Resource Economics",344,,,
2023,"Allen Steele","The Commodore (Technical Edition)","Aerospace Engineering",350,,,
2023,"Andreas Eschbach","Lord of All Things","Nanotechnology / Economics (Hard)",600,,,
2023,"Annalee Newitz","The Terraformers","Planetary Engineering / Ecology (Hard)",352,,,
2023,"Brandon Q. Morris","The Truth","Physics SF / Quantum Theory",350,,,
2023,"Brandon Q. Morris","The Pluto Debacle","Planetary Science / Solar System",360,,,
2023,"Brandon Q. Morris","The Uranus Fiasco","Planetary Science / Solar System",360,,,
2023,"Brandon Q. Morris","The Andromeda Encounter","First Contact / Relativistic SF",362,,,
2023,"Brandon Q. Morris","The Bastion of God","Megastructures / Engineering",370,,,
2023,"Brandon Q. Morris","The Sword of God","Megastructures / Engineering",370,,,
2023,"Brandon Q. Morris","The Wrath of God","Megastructures / Engineering",370,,,
2023,"Brandon Q. Morris","The Last Cosmonaut","Space Industry / Near-Future",380,,,
2023,"Chris Hadfield","The Defector","Aerospace Engineering / Physics",369,,,
2023,"Daniel Suarez","Critical Mass","Asteroid Mining / Space Industry",480,,,
2023,"Dennis E. Taylor","Roadkill","Information Theory / Cybersecurity",320,,,
2023,"Geoffrey A. Landis","No One Now Remembers","Archaeological Hard SF / Physics",150,,,
2023,"Huw Steer","The Last of the Wardens","Xenobiology / Geophysics",350,,,
2023,"Ian Douglas","Solar Storm","Solar System Exploration / Near-Future",400,,,
2023,"Jack McDevitt","Village in the Sky","Astro-Archaeology / SETI Physics",352,,,
2023,"Joanna Maciejewska","By the Pact","Information Theory / Cybernetics",320,,,
2023,"John Chu","The Subtle Art of Folding Space","Quantum Physics / Engineering",320,,,
2023,"John Chu","The Subtle Art of Folding Space","Quantum Physics / Engineering",320,,,
2023,"John Scalzi","Starter Villain","Near-Future Extrapolation",272,,,
2023,"Joshua Dalzelle","Marine","Hard Military SF",328,,,
2023,"Lavanya Lakshminarayan","The Ten-Percent Thief","Cybernetics / Resource Economics",350,,,
2023,"M.R. Carey","Infinity Gate","Quantum Theory / Multiverse Physics",512,,,
2023,"Malka Older","The Mimicking of Known Successes","Planetary Romance (Hard Variant)",176,,,
2023,"Nancy Kress","Sea Change","Climate Fiction / Biopunk",192,,,
2023,"Naomi Alderman","The Future","Information Theory / Climatology / AI",432,,,
2023,"Ness Brown","The Scourge Between Stars","Astrobiology / Engineering",176,,,
2023,"Nils Westerboer","Athos 2643 (English Edition)","Cybernetics / AI / Orbital Mechanics",450,,,
2023,"Peter Cawdron","Ghosts","First Contact / Neurobiology",312,,,
2023,"Peter Cawdron","Apothecary","Biological Hard SF / First Contact",326,,,
2023,"Peter Cawdron","The Artifact","First Contact / Megastructures",336,,,
2023,"Peter Cawdron","The Art of War","First Contact / Military SF",348,,,
2023,"R.K. Billiau","The Synthetic Path","Robotic Hard SF / AI Hardware",340,,,
2023,"Stephen Baxter","Creation Node","Cosmology / Physics",450,,,
2023,"Sylvain Neuvel","Until the Last of Me","Space Industry / Alternate History",304,,,
2023,"T.R. Napper","The Escher Man","Neuroscience / Memory Engineering",360,,,
2023,"Will Wight","The Last Horizon: Captain","Quantum Physics / AI / Engineering",412,,,
2023,"Will Wight","The Last Horizon: Engineer","Mechanical Engineering / AI",425,,,
2023,"Yume Kitasei","The Deep Sky","Astrophysics / Ecological Science",416,,,
2024,"Adam Roberts","Lake of Darkness","Astrophysics / Theoretical Physics",384,,,
2024,"Adrian Tchaikovsky","Saturation Point","Biological SF / Ecology",200,,,
2024,"Adrian Tchaikovsky","Alien Clay","Astrobiology / Xenobiology",400,,,
2024,"Adrian Tchaikovsky","Service Model","Robotic/AI Hard SF",400,,,
2024,"Alastair Reynolds","Machine Vendetta","Robotic/AI Hard SF / Cyberpunk",416,,,
2024,"Brandon Q. Morris","The Alpha Centauri Legacy","Space Colonization / Interstellar",340,,,
2024,"Brandon Q. Morris","The Planet","Physics SF / Tachyon Research",360,,,
2024,"Brandon Q. Morris","The Ship","Physics SF / Tachyon Research",360,,,
2024,"Brandon Q. Morris","The Weapon","Physics SF / Tachyon Research",360,,,
2024,"Brandon Q. Morris","The Krill Enigma","Astrobiology / First Contact",380,,,
2024,"C.J. Cherryh","Alliance Unbound","Space Industry / Asteroid Mining",384,,,
2024,"Charles Stross","Ghost Engine","Quantum Physics / Singularity",400,,,
2024,"Chris Kennedy","The Muton Incident","Plasma Physics / Ballistics",340,,,
2024,"Daniel H. Wilson","Andromeda Rising","Astrobiology / First Contact",384,,,
2024,"Dennis E. Taylor","Not Till We Are Lost","Brain Uploading / Von Neumann Probes",480,,,
2024,"Dilman Dila","Where Rivers Go to Die","Climate Fiction / Biological Hard SF",300,,,
2024,"Elizabeth Moon","Vatta's End","Logistics / Materials Science",380,,,
2024,"Greg Egan","Morphic","Quantum Physics / Biological Hard SF",248,,,
2024,"Hannah Fry","The Algorithm (Fiction Variant)","Information Theory / AI",320,,,
2024,"James S.A. Corey","The Mercy of Gods","Xenobiology / Astrobiology",432,,,
2024,"Katie Bloomer","The Burning Years","Atmospheric Chemistry / Physics",350,,,
2024,"M.A. Rothman","Primordial","Quantum Physics / Particle Accelerators",360,,,
2024,"Marko Kloos","Corvus","Ballistics / Drone Warfare Physics",340,,,
2024,"Mary Robinette Kowal","The Martian Contingency","Planetary Romance (Hard) / Colonization",416,,,
2024,"Michael Flynn","In the Belly of the Whale","Astrobiology / Physics (Generation Ship)",380,,,
2024,"Mike Chen","The Photonic Effect","Optical Physics / Information Theory",350,,,
2024,"Neal Stephenson","Polostan","Near-Future Extrapolation / Physics",320,,,
2024,"Peter Cawdron","Love, Sex and the Alien Apocalypse","Biological Hard SF",298,,,
2024,"Peter Cawdron","The Inhabited Moon","Lunar Geology / Engineering",350,,,
2024,"Peter Cawdron","The Anatomy of Courage","Astrobiology / First Contact",352,,,
2024,"Peter Cawdron","The Simulacrum","Robotic/AI Hard SF",364,,,
2024,"Peter Cawdron","Anomaly 2: The Harvest","First Contact / Astrophysics",400,,,
2024,"Peter F. Hamilton","Exodus: The Archer's Paradox","Hard Space Opera / Relativistic SF",528,,,
2024,"Robert J. Sawyer","The Downloaded","Neurobiology / Digital Consciousness",350,,,
2024,"S.B. Divya","The Scourge of Anthrax","Pandemic / Epidemiological SF",320,,,
2024,"Seth Jaffe","The Receiver","Information Theory / Cybersecurity",320,,,
2024,"Will Wight","The Last Horizon: Pilot","Cybernetics / Information Theory",430,,,
2024,"Yoon Ha Lee","Moonstorm","Space Industry / Near-Future",350,,,
2025,"Adrian Tchaikovsky","The Hungry Gods","Planetary Science / Ecology",380,,,
2025,"Adrian Tchaikovsky","Children of Strife","Biological Hard SF / Evolution",620,,,
2025,"Alastair Reynolds","The Dagger in Vichy","Alternate History / Hard SF",240,,,
2025,"Alastair Reynolds","Halcyon Years","Quantum Physics / Alternate History",400,,,
2025,"Anthony Dean","The Voided Man","Relativistic SF / Physics",340,,,
2025,"Ben Bova, Les Johnson","Pluto","Planetary Science / Solar System",352,,,
2025,"Brandon Q. Morris","The Luna Monolith","Planetary Science / Moon",350,,,
2025,"Brandon Q. Morris","The Frozen Planet","Exobiology / Evolution",360,,,
2025,"Brandon Q. Morris","The Shared Planet","Exobiology / Evolution",360,,,
2025,"Brandon Q. Morris","The Torn Planet","Exobiology / Evolution",360,,,
2025,"Brandon Q. Morris","The Atacama Incident","Astrobiology / First Contact",380,,,
2025,"Cameron Reed","What We Are Seeking","Exobiology / Planetary Science",380,,,
2025,"Chris Hadfield","Final Orbit","Aerospace Engineering / Orbital Mechanics",400,,,
2025,"D.L. Mackenzie","The Magnetron Chronicles","Electromagnetism / Materials Science",320,,,
2025,"Daniel Suarez","Luna Rising","Space Colonization / Industry",464,,,
2025,"Dennis E. Taylor","Earthside (Outland Sequel)","Geology / Planetary Engineering",400,,,
2025,"Douglas Beason","The Plasma War","Plasma Physics / Military SF",380,,,
2025,"Jasmin Kirkbride","The Forest on the Edge of Time","Dendrochronology / Time Dilation",380,,,
2025,"Kristine Kathryn Rusch","The Death Hole Bunker","Nuclear Physics / Forensic Salvage",340,,,
2025,"Peter Cawdron","Equilibrium","Quantum Physics SF",120,,,
2025,"Peter Cawdron","Gold Rush","First Contact / Space Industry",318,,,
2025,"Peter Cawdron","Dark Beauty","Astrobiology / Planetary Science",332,,,
2025,"Peter Cawdron","The Minotaur","First Contact / Xenobiology",340,,,
2025,"Peter Cawdron","The Oracle","First Contact / Quantum Physics",344,,,
2025,"Peter Cawdron","The Darkness Between the Stars","Interstellar Travel / First Contact",370,,,
2025,"Richard K. Morgan","The Dark Man","Biopunk / Genetic Engineering",520,,,
2025,"Rick Partlow","Accidental Astronaut","Aerospace Engineering / Survival",350,,,
2025,"Sylvain Neuvel","For All Mankind (Hard Variant)","Space Industry / Alternate History",320,,,
2025,"Travis S. Taylor","Quantum Void","Quantum Physics SF",400,,,
2025,"Yoon Ha Lee","The Glass Immortals (Hard Variant)","Nanotechnology / Materials Science",400,,,
2026,"A.K. DuBoff","Stranded","Astrobiology / Survival Engineering",330,,,
2026,"Adrian Tchaikovsky","Green City Wars","Climate Fiction (Cli-Fi) / Biopunk",380,,,
2026,"Adrian Tchaikovsky","Preaching to the Choir","Near-Future / Neurobiology",420,,,
2026,"Adrian Tchaikovsky","Pretenders to the Throne of God","Near-Future Extrapolation",450,,,
2026,"Adrian Tchaikovsky","The Last Starship (Working Title)","Relativistic SF / Astrophysics",450,,,
2026,"Alexandra Oliva","The Radiant Dark","Astrophysics / Survival Engineering",350,,,
2026,"Becky Chambers","As You Wake, Break the Shell","Astrobiology / Near-Future",180,,,
2026,"Brandon Q. Morris","The Dead Planet","Exobiology / Evolution",360,,,
2026,"Brandon Q. Morris","The Tiny Planet","Exobiology / Evolution",360,,,
2026,"Dennis E. Taylor","The Bobiverse: Book 6 (Untitled)","Cosmology / Deep Time Physics",450,,,
2026,"Eliot Peper","Foundry","Cybersecurity / Materials Science",350,,,
2026,"Isabel J. Kim","Sublimation","Information Theory / Neurobiology",340,,,
2026,"Jack McDevitt","Thunderbird","Orbital Mechanics / Archaeology",350,,,
2026,"John Ringo","Beyond the Rift","Quantum Physics / Tactical SF",380,,,
2026,"Joseph Eckert","The Traveler","Relativistic SF / Physics",380,,,
2026,"Katie Mack","End of Everything (Novelized)","Cosmology / Physics SF",380,,,
2026,"Linda Nagata","Blade","Megastructures / Information Theory",380,,,
2026,"Mahmud El Sayed","The Republic of Memory","Cognitive Science / Information Theory",360,,,
2026,"Matthew Kressel","The Rainseekers","Planetary Science / Hydrology",340,,,
2026,"Miles Cameron","Deep Black","Space Industry / Orbital Mechanics",550,,,
2026,"Mur Lafferty","Chaos Station","Space Industry / Near-Future",400,,,
2026,"Naomi Ishiguro","The Rainshadow Orphans","Climatology / Environmental Science",320,,,
2026,"Neal Stephenson","Deep Code","Information Theory / AI",750,,,
2026,"Peter Cawdron","Entropy","Thermodynamics / First Contact",350,,,
2026,"Peter Watts","Omniscience","Neurology / First Contact",410,,,
2026,"Raghu Palat","God's Own Empire","Near-Future Extrapolation",400,,,
2026,"S.B. Divya","Carbon Copy","Biopunk / Nanotechnology",320,,,
2026,"Sayuri Ueda","The Deep Echoes","Marine Biology / Xenobiology",420,,,
2026,"Shen Tao","The Poet Empress (Hard Variant)","Information Theory / Linguistics",380,,,
2026,"Trevor Lewis","AS1","Aerospace Engineering / LEO Logistics",320,,,
2026,"Vandana Singh","Southern Flows","Fluid Dynamics / Oceanography (Hard)",320,,,
2026,"Will Crudge","Battlespace","Orbital Mechanics / Laser Physics",350,,,
